pair,phase,measure,d,ci_low,ci_high
Owl / /u/,exercise,jitter_local,-0.42161975116622125,-1.0458536694159895,0.13834287074973403
Owl / /u/,exercise,shimmer_local,0.022244796991126303,-0.5496721580778406,0.5508617907072847
Owl / /u/,exercise,shimmer_dB,0.1030166764794795,-0.4334967960206306,0.6245406631680149
Owl / /u/,exercise,hnr_mean,-0.49375061013802646,-1.0337825030153547,0.018469982630508187
Owl / /u/,exercise,intensity_mean_calibrated,0.3964993079966378,-0.15768945211567903,0.9753152927940499
Owl / /u/,exercise,cog,0.4702515635935844,-0.0662018099417323,1.026422016692605
Owl / /u/,exercise,spectral_sd,0.1424648522036403,-0.4198891053887821,0.7127069285192108
Owl / /u/,exercise,skewness,-0.34330487707014135,-1.26010891344797,0.18608457015312863
Owl / /u/,exercise,kurtosis,-0.06755627248502898,-0.8626372622120962,0.4075012904665434
Owl / /u/,exercise,cpps,-0.037307997670195436,-0.6251523930079469,0.5381282327922112
Owl / /u/,exercise,h1_h2,-0.25621185943952735,-0.8356668894566233,0.31811359945378004
Owl / /u/,exercise,f1,-0.42097149976780995,-0.9563824509073977,0.14861403740347753
Owl / /u/,exercise,f2,-0.8090706122236699,-1.3934825014475767,-0.28498389009941827
Owl / /u/,exercise,alpha_ratio,-0.4588396106463696,-1.2332541808523962,0.08040279297554774
Owl / /u/,exercise,lh_ratio,0.4648826644022907,-0.16578067913647523,1.1137050976212828
Owl / /u/,exercise,ltas_slope,0.32694757592097057,-0.2307549981811595,0.907820744891861
Owl / /u/,exercise,ltas_tilt,-0.13509555677891733,-0.6982643196206161,0.4154473365688388
Cat / /æ/,mimic,f0_mean,1.261085963192378,0.7043813487464038,2.0786420774756476
Cat / /æ/,mimic,f0_sd,-0.21581561317071807,-0.7689719670721237,0.37550317702941316
Cat / /æ/,mimic,jitter_local,0.5591799639755691,0.02661992415136973,1.131594646413311
Cat / /æ/,mimic,shimmer_local,0.4995669578814718,-0.04821988255213415,1.0638701008368492
Cat / /æ/,mimic,shimmer_dB,0.20801858638581014,-0.33588330287573953,0.8346487111069223
Cat / /æ/,mimic,hnr_mean,-0.24137554501528344,-0.7779898845828671,0.3480329603435259
Cat / /æ/,mimic,intensity_mean_calibrated,-1.947036610883036,-2.6941178739893354,-1.466667767255994
Cat / /æ/,mimic,cog,1.926205817738205,1.430905482873324,2.6949637975775267
Cat / /æ/,mimic,spectral_sd,3.210876660304952,2.691252857255464,4.120297985133676
Cat / /æ/,mimic,skewness,-2.23649270114415,-2.987553758508303,-1.7731741472217375
Cat / /æ/,mimic,kurtosis,-1.8184544288510007,-2.4062869105839773,-1.4281559390551577
Cat / /æ/,mimic,cpps,-1.6258663006909468,-2.2539934514243134,-1.1617308512413014
Cat / /æ/,mimic,h1_h2,0.8652966278729558,0.4320793587778857,1.5249206039950143
Cat / /æ/,mimic,f1,-0.38342251536902794,-0.9706522526138033,0.19649672799905385
Cat / /æ/,mimic,f2,2.784292949935748,2.131425312956379,3.83794273730439
Cat / /æ/,mimic,alpha_ratio,0.3594740640751542,-0.21392492108350866,0.8516716494249426
Cat / /æ/,mimic,lh_ratio,-2.167214984168857,-3.025653830991267,-1.5718464553174583
Cat / /æ/,mimic,ltas_slope,-0.09168607432339725,-0.6627723250491571,0.45206795029367974
Cat / /æ/,mimic,ltas_tilt,0.5724907018202684,0.016559972055851347,1.2314363179153407
Cat / /æ/,exercise,f0_mean,-0.09919887684508294,-0.6993439376687395,0.5059929368940569
