participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P2,2,Ex 2 (Cat / /ae/),B,human,exercise,1,5,432.05600000000004,0.0113858,0.47546,17.154,426.45799999999997,97.51,20.24854,-6.95158
P2,2,Ex 2 (Cat / /ae/),B,human,somewhere_some,2,1,266.93,0.002236,0.1244,24.61,410.98,98.37,23.7575,7.0161
P2,2,Ex 2 (Cat / /ae/),B,human,somewhere_where,2,1,531.45,0.007285,0.3215,22.59,473.61,103.93,22.0636,1.2145
P2,2,Ex 2 (Cat / /ae/),B,human,baseline_some,-1,1,260.08,0.002007,0.1495,26.63,382.44,95.1,26.4576,4.2617
P2,2,Ex 2 (Cat / /ae/),B,human,baseline_where,-1,1,517.77,0.003755,0.2054,23.14,413.16,100.56,20.81,-0.3029
P2,3,Ex 3 (Cow / /a/),A,animal,mimic,0,5,417.36799999999994,0.017013599999999997,0.5694,19.312,187.05,92.474,18.34232,17.140620000000002
P2,3,Ex 3 (Cow / /a/),A,animal,exercise,1,5,321.664,0.0248716,0.75724,14.092000000000002,187.106,88.252,17.8508,14.8814
P2,3,Ex 3 (Cow / /a/),A,animal,somewhere_some,2,1,259.96,0.002357,0.1613,25.67,344.81,95.02,24.7189,2.5107
P2,3,Ex 3 (Cow / /a/),A,animal,somewhere_where,2,1,521.26,0.0049,0.3231,22.32,495.8,96.86,21.0774,5.5869
P2,3,Ex 3 (Cow / /a/),A,animal,baseline_some,-1,1,261.14,0.002907,0.1449,24.71,380.65,91.84,25.3024,2.4886
P2,3,Ex 3 (Cow / /a/),A,animal,baseline_where,-1,1,517.9,0.006214,0.5437,19.29,549.34,92.88,20.3169,-0.3956
P2,3,Ex 3 (Cow / /a/),B,human,mimic,0,5,440.758,0.014896600000000001,0.63924,14.376,218.74200000000002,80.966,17.4558,3.3153999999999995
P2,3,Ex 3 (Cow / /a/),B,human,exercise,1,5,474.86400000000003,0.036631800000000006,1.08896,9.354,322.31399999999996,90.31199999999998,19.783479999999997,-1.0329800000000002
P2,3,Ex 3 (Cow / /a/),B,human,somewhere_some,2,1,266.54,0.002274,0.1217,26.73,360.04,93.87,26.288,3.5482
P2,3,Ex 3 (Cow / /a/),B,human,somewhere_where,2,1,529.64,0.008876,0.321,22.04,428.58,99.1,22.3628,
P2,3,Ex 3 (Cow / /a/),B,human,baseline_some,-1,1,260.08,0.002007,0.1495,26.63,382.44,95.1,26.4576,4.2617
P2,3,Ex 3 (Cow / /a/),B,human,baseline_where,-1,1,517.77,0.003755,0.2054,23.14,413.16,100.56,20.81,-0.3029
P3,1,Ex 1 (Owl / /u/),A,animal,mimic,0,5,561.072,0.0018996,0.12603999999999999,31.802,203.804,99.96600000000001,18.492060000000002,7.983960000000001
P3,1,Ex 1 (Owl / /u/),A,animal,exercise,1,5,600.088,0.0016040000000000002,0.10371999999999999,34.616,168.47599999999997,101.814,19.826439999999998,12.924100000000001
P3,1,Ex 1 (Owl / /u/),A,animal,somewhere_some,2,1,255.81,0.002205,0.1608,24.26,418.38,95.33,25.9846,
P3,1,Ex 1 (Owl / /u/),A,animal,somewhere_where,2,1,528.4,0.003275,0.1896,25.28,390.98,106.98,22.3042,-0.852
P3,1,Ex 1 (Owl / /u/),A,animal,baseline_some,-1,1,256.19,0.002856,0.3377,22.13,432.36,96.66,25.6035,3.3575
P3,1,Ex 1 (Owl / /u/),A,animal,baseline_where,-1,1,512.17,0.00361,0.2033,25.81,365.4,107.78,21.3009,-0.2046
P3,1,Ex 1 (Owl / /u/),B,human,mimic,0,5,534.1719999999999,0.0038454,0.2029,27.130000000000003,279.884,85.478,15.61026,4.81364
P3,1,Ex 1 (Owl / /u/),B,human,exercise,1,5,585.1,0.0015754,0.09314,33.722,253.53000000000003,100.558,20.49264,6.254
P3,1,Ex 1 (Owl / /u/),B,human,somewhere_some,2,1,256.24,0.001812,0.2961,25.64,379.29,96.58,28.0358,1.041
P3,1,Ex 1 (Owl / /u/),B,human,somewhere_where,2,1,519.0,0.00233,0.1477,26.98,308.24,109.79,22.727,-5.3636
P3,1,Ex 1 (Owl / /u/),B,human,baseline_some,-1,1,258.09,0.001726,0.2869,25.16,402.79,97.07,27.2488,2.8392
P3,1,Ex 1 (Owl / /u/),B,human,baseline_where,-1,1,520.65,0.003331,0.2532,24.73,359.2,108.22,22.9751,-3.8345
P3,2,Ex 2 (Cat / /ae/),A,animal,mimic,0,5,480.13800000000003,0.0031336000000000003,0.20749999999999996,18.221999999999998,1165.1560000000002,85.898,19.69156,0.25836
P3,2,Ex 2 (Cat / /ae/),A,animal,exercise,1,5,426.55,0.0014160000000000002,0.12474,25.568000000000005,528.2760000000001,98.35,25.1988,-6.67144
