pair,animal,vowel,measure,d,ci_low,ci_high,n_animal,n_vowel,mean_animal,mean_vowel
Cow / /ɑ/,cow,a,shimmer_dB,-1.9137505315958654,-2.6925007322787313,-1.3796256892258985,24,23,0.3578666666666666,0.8215739130434784
Cow / /ɑ/,cow,a,hnr_mean,3.9075620661119723,3.1712558638357953,5.436156111196259,24,23,20.3575,11.63
Cow / /ɑ/,cow,a,intensity_mean_calibrated,0.8659541922401803,0.2550002300734162,1.6488532826602496,24,23,90.82833333333333,86.92608695652174
Cow / /ɑ/,cow,a,cog,-1.1037988763143265,-1.9856830480256202,-0.5008457530558413,24,23,532.1408333333333,664.2934782608695
Cow / /ɑ/,cow,a,spectral_sd,0.8673121883775281,0.3914181239834173,1.3661078338230825,24,23,325.39958333333334,231.2073913043478
Cow / /ɑ/,cow,a,skewness,-0.1578683213700566,-0.8046944154800845,0.4006214079482353,24,23,11.327625,12.082017391304348
Cow / /ɑ/,cow,a,kurtosis,-0.6927260889830933,-1.3720794785071342,-0.14180934078062785,24,23,403.31961666666666,635.6073782608696
Cow / /ɑ/,cow,a,cpps,1.0644999914488833,0.5205451654723633,1.79410638528196,24,23,21.6396125,18.991869565217392
Cow / /ɑ/,cow,a,h1_h2,-0.06951551564094273,-0.713753988398263,0.5118768938267424,24,23,4.898025,5.543360869565218
Cow / /ɑ/,cow,a,f1,-1.5277074815233684,-2.2690914883624154,-1.002657909023067,24,23,667.4462500000001,798.9256521739129
Cow / /ɑ/,cow,a,f2,-0.5023851323091256,-1.0910846367837985,0.07562833310570503,24,23,1464.4225,1545.7378260869566
Cow / /ɑ/,cow,a,alpha_ratio,0.03095001049111852,-0.49631299485894437,0.7127101271147475,24,23,3.8277375,3.7866043478260876
Cow / /ɑ/,cow,a,lh_ratio,-0.05481275287883648,-0.7325767063350945,0.4931288140015671,22,11,8.95277272727273,9.193845454545453
Cow / /ɑ/,cow,a,ltas_slope,-0.4286989989745567,-1.1976942162810233,0.13868989212785782,24,23,-20.073354166666665,-18.219208695652174
Cow / /ɑ/,cow,a,ltas_tilt,-0.03938912968525738,-0.6311953957472697,0.5193979274259789,24,23,-5.3817125,-5.327630434782609
