participant,session,condition,pitch_target,segment_type,preceding_exercise,temporal_position,cumulative_blocks,f0_mean_baseline,f0_mean_post,f0_mean_change,f0_sd_baseline,f0_sd_post,f0_sd_change,jitter_local_baseline,jitter_local_post,jitter_local_change,shimmer_local_baseline,shimmer_local_post,shimmer_local_change,shimmer_dB_baseline,shimmer_dB_post,shimmer_dB_change,hnr_mean_baseline,hnr_mean_post,hnr_mean_change,intensity_mean_calibrated_baseline,intensity_mean_calibrated_post,intensity_mean_calibrated_change,cog_baseline,cog_post,cog_change,spectral_sd_baseline,spectral_sd_post,spectral_sd_change,skewness_baseline,skewness_post,skewness_change,kurtosis_baseline,kurtosis_post,kurtosis_change
P4,B,human,some,somewhere_post_ex3,cow/a,3,3,254.97,251.2,-3.7700000000000102,3.68,3.5,-0.18000000000000016,0.002768,0.002275,-0.000493,0.035667,0.02266,-0.013006999999999998,0.3164,0.2761,-0.0403,21.38,22.46,1.0800000000000018,105.09,111.98,6.890000000000001,704.56,840.85,136.29000000000008,338.68,293.46,-45.22000000000003,8.0938,4.2711,-3.8227,280.1473,123.1411,-157.00619999999998
P5,A,animal,some,somewhere_post_ex3,cow/a,1,1,258.41,259.52,1.1099999999999568,9.95,4.24,-5.709999999999999,0.003469,0.002218,-0.001251,0.019983,0.016437,-0.0035460000000000005,0.1695,0.1371,-0.03240000000000001,23.17,25.25,2.0799999999999983,96.78,97.09,0.3100000000000023,327.13,441.83,114.69999999999999,289.35,336.26,46.90999999999997,24.1683,10.9145,-13.253799999999998,1096.4966,456.6421,-639.8544999999999
P5,A,animal,some,somewhere_post_ex2,cat/ae,2,2,258.41,262.4,3.9899999999999523,9.95,10.79,0.8399999999999999,0.003469,0.002234,-0.001235,0.019983,0.014327,-0.005656000000000001,0.1695,0.1202,-0.04930000000000001,23.17,24.03,0.8599999999999994,96.78,98.21,1.4299999999999926,327.13,589.08,261.95000000000005,289.35,483.05,193.7,24.1683,5.8796,-18.2887,1096.4966,133.6779,-962.8186999999999
P5,A,animal,some,somewhere_post_ex1,owl/u,3,3,258.41,261.85,3.4399999999999977,9.95,7.83,-2.119999999999999,0.003469,0.003417,-5.199999999999996e-05,0.019983,0.026597,0.006613999999999998,0.1695,0.2567,0.08719999999999997,23.17,22.22,-0.9500000000000028,96.78,104.78,8.0,327.13,636.27,309.14,289.35,496.78,207.42999999999995,24.1683,8.5532,-15.615099999999998,1096.4966,203.4288,-893.0677999999999
P5,B,human,some,somewhere_post_ex3,cow/a,1,1,258.08,257.48,-0.5999999999999659,4.32,9.19,4.869999999999999,0.00247,0.002649,0.0001789999999999999,0.012009,0.016702,0.004693000000000001,0.1033,0.1629,0.059599999999999986,25.09,22.88,-2.210000000000001,95.01,96.94,1.9299999999999926,415.89,573.29,157.39999999999998,375.43,494.49,119.06,12.353,7.8165,-4.5365,433.6339,164.5695,-269.0644
P5,B,human,some,somewhere_post_ex1,owl/u,2,2,258.08,260.3,2.2200000000000273,4.32,7.88,3.5599999999999996,0.00247,0.002386,-8.399999999999987e-05,0.012009,0.014149,0.0021399999999999995,0.1033,0.1196,0.016299999999999995,25.09,25.57,0.4800000000000004,95.01,96.72,1.7099999999999937,415.89,526.4,110.50999999999999,375.43,428.24,52.81,12.353,7.3435,-5.0095,433.6339,187.0552,-246.57869999999997
P5,B,human,some,somewhere_post_ex2,cat/ae,3,3,258.08,263.67,5.590000000000032,4.32,12.89,8.57,0.00247,0.002657,0.0001870000000000001,0.012009,0.017644,0.005634999999999999,0.1033,0.1824,0.0791,25.09,22.07,-3.0199999999999996,95.01,100.63,5.61999999999999,415.89,623.3,207.40999999999997,375.43,496.36,120.93,12.353,5.8033,-6.5497,433.6339,99.4069,-334.227
P1,A,animal,where,somewhere_post_ex1,owl/u,1,1,519.15,526.47,7.32000000000005,6.0,4.88,-1.12,0.00287,0.00376,0.0008899999999999997,0.021078,0.022658,0.0015800000000000015,0.1978,0.2024,0.004599999999999993,26.53,25.31,-1.2200000000000024,104.42,105.53,1.1099999999999994,983.55,983.01,-0.5399999999999636,300.47,335.63,35.15999999999997,9.4979,9.4863,-0.01159999999999961,402.8548,346.5144,-56.34039999999999
P1,A,animal,where,somewhere_post_ex2,cat/ae,2,2,519.15,520.32,1.1700000000000728,6.0,9.78,3.7799999999999994,0.00287,0.003338,0.00046799999999999967,0.021078,0.021476,0.00039799999999999905,0.1978,0.1933,-0.004500000000000004,26.53,25.76,-0.7699999999999996,104.42,105.13,0.7099999999999937,983.55,1004.67,21.120000000000005,300.47,299.88,-0.5900000000000318,9.4979,8.9795,-0.5183999999999997,402.8548,346.9788,-55.87600000000003
P1,A,animal,where,somewhere_post_ex3,cow/a,3,3,519.15,520.0,0.8500000000000227,6.0,8.36,2.3599999999999994,0.00287,0.003575,0.0007049999999999999,0.021078,0.022558,0.0014800000000000021,0.1978,0.2005,0.002700000000000008,26.53,24.94,-1.5899999999999999,104.42,105.65,1.230000000000004,983.55,956.8,-26.75,300.47,329.23,28.75999999999999,9.4979,7.7567,-1.7411999999999992,402.8548,273.2153,-129.6395
